form	def_pos	def_lemma	def_morph	source	UPOS	pos
lui	VER	luire	_	FROLEX	VER	
lui	VERcjg	lire	_	FROLEX	VER	
lui	VERcjg	luire	_	FROLEX	VER	
lui	VER	luire	_	FROLEX	VER	
lui	VERcjg	lire	_	FROLEX	VER	
mez	VER	metre	_	FROLEX	VER	
mez	VERcjg	manoir	_	FROLEX	VER	
mez	VERcjg	metre	_	FROLEX	VER	
mez	VERcjg	mettre	_	FROLEX	VER	
mez	VER	mettre	_	FROLEX	VER	
lut	VER	loisir	_	FROLEX	VER	
lut	VERcjg	lire	_	FROLEX	VER	
lut	VERcjg	loisir	_	FROLEX	VER	
lui	VERcjg	luire	_	FROLEX	VER	
jut	VERcjg	gésir	_	FROLEX	VER	
esturent	VERcjg	estovoir	_	FROLEX	VER	
estut	VERcjg	estovoir	_	FROLEX	VER	
estut	VER	ester	_	FROLEX	VER	
estut	VER	estovoir	_	FROLEX	VER	
juintes	VERppe	joindre	_	FROLEX	VER	
entr'	VER	entraider	_	FROLEX	VER	
entr'	VER	entraimer	_	FROLEX	VER	
entr'	VER	entr'aproismier	_	FROLEX	VER	
entr'	VER	entrencontrer	_	FROLEX	VER	
entr'	VER	entroccire	_	FROLEX	VER	
eslue	VER	élire	_	FROLEX	VER	
esmut	VER	émouvoir	_	FROLEX	VER	
fui	VERppe	être	_	FROLEX	VER	
fui	VER	être	_	FROLEX	VER	
fust	VERcjg	fût	_	FROLEX	VER	
jugier	VER	juger	_	FROLEX	VER	
juintes	VERppe	joindre	_	FROLEX	VER	
fuie	VERppe	fuir	_	FROLEX	VER	
fuie	VERcjg	fuir	_	FROLEX	VER	
fus	VER	fondre	_	FROLEX	VER	
