form	lemma_def	pos	type	src_mot
champe	champé	adjectif	qualificatif	
champegnois	champenois	adjectif	qualificatif	
champenoiz	champenois	adjectif	qualificatif	
champenoys	champenois	adjectif	qualificatif	
champeus	champel	adjectif	qualificatif	
champeus	champé	adjectif	qualificatif	
champpestre	champêtre	adjectif	qualificatif	
chanters	chanteur	adjectif	qualificatif	
charneulx	charnel	adjectif	qualificatif	
charneulx	charneux	adjectif	qualificatif	
chasseresses	chasseresse	adjectif	qualificatif	
chasseresses	chasseur	adjectif	qualificatif	
chastez	chaste	adjectif	qualificatif	
chaulde	chaud	adjectif	qualificatif	
cheitifs	chétif	adjectif	qualificatif	
chenue	chenu	adjectif	qualificatif	
chétif	chétif	adjectif	qualificatif	
chetifs	chétif	adjectif	qualificatif	
chetifz	chétif	adjectif	qualificatif	
chetiz	chétif	adjectif	qualificatif	
chevalereus	chevalereux	adjectif	qualificatif	
chevalereuse	chevalereux	adjectif	qualificatif	
chevalereuses	chevalereux	adjectif	qualificatif	
chevalereux	chevalereux	adjectif	qualificatif	
chevaleureuses	chevalereux	adjectif	qualificatif	
chevetaing	chevetain	adjectif	qualificatif	
chevetaynne	chevetain	adjectif	qualificatif	
chice	chiche	adjectif	qualificatif	
chippriens	ciprien	adjectif	qualificatif	
chippriens	cyprien	adjectif	qualificatif	
chomin	chaumin	adjectif	qualificatif	
christiens	chrétien	adjectif	qualificatif	
christiien	chrétien	adjectif	qualificatif	
cí	motnombre	adjectif	qualificatif	
citeain	citoyen	adjectif	qualificatif	
citeains	citoyen	adjectif	qualificatif	
citheein	citoyen	adjectif	qualificatif	
citheein	citain	adjectif	qualificatif	
citheeins	citoyen	adjectif	qualificatif	
citheeins	citain	adjectif	qualificatif	
citoyen	citoyen	adjectif	qualificatif	
civilles	civil	adjectif	qualificatif	
cleire	clair	adjectif	qualificatif	
clemens	clément	adjectif	qualificatif	
colique	colique	adjectif	qualificatif	
comains	comé	adjectif	qualificatif	
comains	commun	adjectif	qualificatif	
commung	commun	adjectif	qualificatif	
communicatif	communicatif	adjectif	qualificatif	
concultis	conqueutiz	adjectif	qualificatif	
condée	condé	adjectif	qualificatif	
congregatis	congrégatif	adjectif	qualificatif	
