form	lemma_def	pos	type	feats	src_mot
delivereit	délivrer	VERcjg	conjugue	_	
deliveréit	délivrer	VERppe	participe passe	_	
deliverés	délivrer	VERppe	participe passe	_	
deliverra	délivrer	VERcjg	conjugue	VerbForm=Fin	
deliverrai	délivrer	VERcjg	conjugue	_	
deliverroie	délivrer	VERcjg	conjugue	_	
deliverroit	délivrer	VERcjg	conjugue	_	
délivra	délivrer	VERppe	participe passe	_	
delívra	délivrer	VERcjg	conjugue	_	
delivrad	délivrer	VERcjg	conjugue	_	
delivrat	délivrer	VERcjg	conjugue	_	
délivré	délivrer	VERppe	participe passe	_	
delivred	délivrer	VERcjg	conjugue	_	
delivrée	délivrer	VERppe	participe passe	VerbForm=Part|Tense=Past	
delivrées	délivrer	VERppe	participe passe	_	
délivrées	délivrer	VERppe	participe passe	_	
délivrer	délivrer	VERinf	infinitif	_	
delívrer	délivrer	VERinf	infinitif	_	
delivrés	délivrer	VERppe	participe passe	_	
délivrés	délivrer	VERppe	participe passe	_	
delívrez	délivrer	VERcjg	conjugue	_	
delivréz	délivrer	VERppe	participe passe	VerbForm=Part|Tense=Past	
delya	délier	VERcjg	conjugue	_	
delya	lier	VERcjg	conjugue	_	
delyvera	délivrer	VERcjg	conjugue	_	
delyvera	délibérer	VERcjg	conjugue	_	
delyverast	délivrer	VERcjg	conjugue	_	
delyverast	délibérer	VERcjg	conjugue	_	
delyveré	délivrer	VERppe	participe passe	_	
delyveré	délibérer	VERppe	participe passe	_	
delyverer	délivrer	VERinf	infinitif	_	
delyverer	délibérer	VERinf	infinitif	_	
delyvra	délivrer	VERcjg	conjugue	_	
delyvra	livrer	VERcjg	conjugue	_	
delyvrast	délivrer	VERcjg	conjugue	_	
demaina	démener	VERcjg	conjugue	_	
demainne	demaine	VERcjg	conjugue		
demainne	domaine	VERcjg	conjugue		
demainne	démener	VERcjg	conjugue	VerbForm=Fin	
demainnent	démener	VERcjg	conjugue	VerbForm=Fin	
demaint	démener	VERcjg	conjugue	VerbForm=Fin	
demand	demander	VERcjg	conjugue	_	
demandad	demander	VERcjg	conjugue	_	
demandaissent	demander	VERcjg	conjugue	_	
demandans	demander	VERppa	ppa	_	
demandanz	demander	VERppa	ppa	VerbForm=Part|Tense=Pres	
demandat	demander	VERcjg	conjugue	VerbForm=Fin	
demanday	demander	VERcjg	conjugue	_	
demanded	demander	VERcjg	conjugue	VerbForm=Fin	
demandées	demander	VERppe	participe passe	_	
demandeir	demander	VERinf	infinitif	VerbForm=Inf	
demandeit	demander	VERppe	participe passe	VerbForm=Part|Tense=Past	
demanderay	demander	VERcjg	conjugue	_	
demandereiz	demander	VERcjg	conjugue	VerbForm=Fin	
demanderoye	demander	VERcjg	conjugue	_	
demanderunt	demander	VERcjg	conjugue	VerbForm=Fin	
demandés	demander	VERcjg	conjugue	VerbForm=Fin	
demandet	demander	VERcjg	conjugue	VerbForm=Fin	
demandeuet	demander	VERcjg	conjugue	VerbForm=Fin	
demandirent	demander	VERcjg	conjugue	_	
demandot	demander	VERcjg	conjugue	_	
demandra	demander	VERcjg	conjugue	_	
demandra	devenir	VERcjg	conjugue	_	
demandra	mander	VERcjg	conjugue	_	
demandra	manoir	VERcjg	conjugue	_	
demandra	démenter	VERcjg	conjugue	_	
demandum	demander	VERcjg	conjugue	_	
demandum	mander	VERcjg	conjugue	_	
demandums	demander	VERcjg	conjugue	_	
demaunda	demander	VERcjg	conjugue	_	
demaunda	mander	VERcjg	conjugue	_	
demaunda	démonter	VERcjg	conjugue	_	
demaunde	demander	VERcjg	conjugue	_	
demaunde	mander	VERcjg	conjugue	_	
demaunde	démonter	VERcjg	conjugue	_	
demaunde	démenter	VERcjg	conjugue	_	
demaunder	demander	VERinf	infinitif	_	
demaunder	démonter	VERinf	infinitif	_	
demaunder	démenter	VERinf	infinitif	_	
demeinent	démener	VERcjg	conjugue	VerbForm=Fin	
demeinne	démener	VERcjg	conjugue	VerbForm=Fin	
demeinnes	démener	VERcjg	conjugue	_	
demeint	démener	VERcjg	conjugue	VerbForm=Fin	
demenat	démener	VERppe	participe passe	_	
demenat	démener	VERcjg	conjugue	_	
demenaunte	démener	VERppe	participe passe	_	
demenday	demander	VERcjg	conjugue	_	
demender	demander	VERinf	infinitif	VerbForm=Inf	
demendoient	demander	VERcjg	conjugue	_	
demendoye	demander	VERcjg	conjugue	_	
demenée	démener	VERppe	participe passe	_	
démenée	démener	VERppe	participe passe	_	
demeneie	démener	VERcjg	conjugue	_	
demenét	démener	VERppe	participe passe	VerbForm=Part|Tense=Past	
demengue	démanger	VERcjg	conjugue	_	
demenguent	démanger	VERcjg	conjugue	_	
demenorent	démener	VERcjg	conjugue	_	
demenorent	honorer	VERcjg	conjugue	_	
demenot	démener	VERcjg	conjugue	_	
demenouent	démener	VERcjg	conjugue	_	
demenouent	mener	VERcjg	conjugue	_	
dementés	démenter	VERcjg	conjugue	VerbForm=Fin	
dementet	démenter	VERcjg	conjugue	VerbForm=Fin	
dementéz	démenter	VERcjg	conjugue	_	
dementéz	demander	VERcjg	conjugue	_	
dementéz	enter	VERcjg	conjugue	_	
dementot	démenter	VERcjg	conjugue	_	
demerra	démener	VERcjg	conjugue	_	
demerra	demeurer	VERcjg	conjugue	_	
demerra	mener	VERcjg	conjugue	_	
demerra	devoir	VERcjg	conjugue	_	
demerrat	démener	VERcjg	conjugue	VerbForm=Fin	
demerrat	démener	VERcjg	conjugue	_	
demerrat	demeurer	VERcjg	conjugue	_	
demerrat	errer	VERcjg	conjugue	_	
demerront	démettre	VERcjg	conjugue	_	
demesist	démettre	VERcjg	conjugue	_	
demestre	démettre	VERinf	infinitif	_	
demeurèrent	demeurer	VERcjg	conjugue	_	
demeuriez	demeurer	VERcjg	conjugue	_	
demeynent	démener	VERcjg	conjugue	_	
demeynent	deviner	VERcjg	conjugue	_	
demiés	démier	VERppe	participe passe	_	
demince	démincer	VERcjg	conjugue	VerbForm=Fin	
demoert	demeurer	VERppe	participe passe	_	
demoinent	démener	VERcjg	conjugue	_	
démolie	démolir	VERcjg	conjugue	_	
démolir	démolir	VERinf	infinitif	_	
demolirent	démolir	VERcjg	conjugue	_	
démolis	démolir	VERppe	participe passe	_	
démoly	démolir	VERppe	participe passe	_	
demonstrat	démontrer	VERcjg	conjugue	VerbForm=Fin	
demontee	démonter	VERppe	participe passe	_	
demonteez	démonter	VERppe	participe passe	_	
demorasmes	demeurer	VERcjg	conjugue	_	
demorat	demeurer	VERcjg	conjugue	VerbForm=Fin	
demoraunt	demeurer	VERcjg	conjugue	_	
demoraunt	démouvoir	VERcjg	conjugue	_	
demorés	demeurer	VERppe	participe passe	_	
demoret	demeurer	VERcjg	conjugue	_	
demoreuet	demeurer	VERcjg	conjugue	_	
demoreuet	mourir	VERcjg	conjugue	_	
demoront	demeurer	VERcjg	conjugue	_	
demoront	démouvoir	VERcjg	conjugue	_	
demoront	mourir	VERcjg	conjugue	_	
demorra	demeurer	VERcjg	conjugue	VerbForm=Fin	
demorrai	demeurer	VERcjg	conjugue	_	
demorree	demeurer	VERppe	participe passe	_	
demorreit	demeurer	VERcjg	conjugue	_	
demorreit	mourir	VERcjg	conjugue	_	
demorrez	demeurer	VERcjg	conjugue	_	
demorroit	demeurer	VERcjg	conjugue	_	
demorront	demeurer	VERcjg	conjugue	_	
demosterrai	démontrer	VERcjg	conjugue	VerbForm=Fin	
demosterroit	démontrer	VERcjg	conjugue	_	
demosterroit	montrer	VERcjg	conjugue	_	
demostreie	démontrer	VERppe	participe passe	_	
demostreir	démontrer	VERinf	infinitif	VerbForm=Inf	
demostreit	démontrer	VERcjg	conjugue	_	
demostret	démontrer	VERppe	participe passe	_	
demostret	montrer	VERppe	participe passe	_	
demourasmes	demeurer	VERcjg	conjugue	_	
demourassiez	demeurer	VERppe	participe passe	_	
demouray	demeurer	VERcjg	conjugue	_	
demouree	demeurer	VERppe	participe passe	_	
demourée	demeurer	VERppe	participe passe	VerbForm=Part|Tense=Past	
demourée	demeurée	VERppe	participe passe		
demourée	demeurer	VERppe	participe passe	_	
demourees	demeurer	VERppe	participe passe	_	
demoureir	demeurer	VERinf	infinitif	_	
demourers	demeurer	VERcjg	conjugue	_	
demourés	demeurer	VERcjg	conjugue	_	
demouréz	demeurer	VERppe	participe passe	_	
demouroye	demeurer	VERcjg	conjugue	_	
demourra	demeurer	VERcjg	conjugue	_	
demourrai	demeurer	VERcjg	conjugue	_	
demourras	demeurer	VERcjg	conjugue	_	
demourrés	demeurer	VERcjg	conjugue	_	
demourrez	demeurer	VERppe	participe passe	_	
demourroient	demeurer	VERcjg	conjugue	VerbForm=Fin	
demourroit	demeurer	VERcjg	conjugue	VerbForm=Fin	
demourrons	demeurer	VERcjg	conjugue	_	
demourront	demeurer	VERcjg	conjugue	VerbForm=Fin	
demuere	demeurer	VERinf	infinitif	_	
demum	devoir	VERcjg	conjugue	_	
demum	démener	VERcjg	conjugue	_	
demurad	demeurer	VERppe	participe passe	_	
demuront	demeurer	VERcjg	conjugue	_	
demurra	demeurer	VERcjg	conjugue	_	
demurrent	demeurer	VERcjg	conjugue	_	
demurrez	demeurer	VERppe	participe passe	_	
demurrez	mourir	VERppe	participe passe	_	
demusterai	démontrer	VERcjg	conjugue	_	
demusterai	montrer	VERcjg	conjugue	_	
demusterat	démontrer	VERcjg	conjugue	_	
demusterat	montrer	VERcjg	conjugue	_	
demusterum	démontrer	VERcjg	conjugue	_	
demusterum	montrer	VERcjg	conjugue	_	
demusterum	démonter	VERcjg	conjugue	_	
demusterum	démettre	VERcjg	conjugue	_	
demusteruns	démontrer	VERcjg	conjugue	_	
demusteruns	montrer	VERcjg	conjugue	_	
demustrat	démontrer	VERcjg	conjugue	VerbForm=Fin	
demustred	démontrer	VERppe	participe passe	_	
demustred	montrer	VERppe	participe passe	_	
demustret	démontrer	VERcjg	conjugue	_	
demustret	montrer	VERcjg	conjugue	_	
demustrét	démontrer	VERcjg	conjugue	_	
demustrét	montrer	VERcjg	conjugue	_	
demustroent	démontrer	VERcjg	conjugue	_	
demustroent	montrer	VERcjg	conjugue	_	
demustrum	démontrer	VERcjg	conjugue	_	
demustrums	démontrer	VERcjg	conjugue	_	
demustruns	démontrer	VERcjg	conjugue	_	
denat	daigner	VERcjg	conjugue	VerbForm=Fin	
deneshe	donner	VERcjg	conjugue	_	
deneya	dénier	VERcjg	conjugue	_	
deneya	donner	VERcjg	conjugue	_	
deneya	nouer	VERcjg	conjugue	_	
deneya	noyer	VERcjg	conjugue	_	
deneya	tenir	VERcjg	conjugue	_	
deneyé	noyer	VERppe	participe passe	_	
deneyé	dénier	VERppe	participe passe	_	
deneyé	donner	VERppe	participe passe	_	
denget	donner	VERcjg	conjugue	_	
denget	daigner	VERcjg	conjugue	VerbForm=Fin	
denget	daigner	VERcjg	conjugue	_	
denget	tendre	VERcjg	conjugue	_	
denget	danser	VERcjg	conjugue	_	
denget	tancer	VERcjg	conjugue	_	
denget	tenir	VERcjg	conjugue	_	
dengnast	daigner	VERcjg	conjugue	_	
dengneroie	daigner	VERcjg	conjugue	_	
dengneroit	daigner	VERcjg	conjugue	_	
denoier	dénier	VERinf	infinitif	_	
denoiet	dénier	VERppe	participe passe	_	
denonci	dénoncer	VERcjg	conjugue	_	
denrés	donner	VERcjg	conjugue	_	
denuez	dénuer	VERppe	participe passe	_	
denuncer	dénoncer	VERinf	infinitif	_	
denunciai	dénoncer	VERcjg	conjugue	_	
denyer	dénier	VERinf	infinitif	_	
depandent	dépendre	VERcjg	conjugue	VerbForm=Fin	
departe	départir	VERcjg	conjugue	VerbForm=Fin	
departed	départir	VERcjg	conjugue	VerbForm=Fin	
departeit	départir	VERppe	participe passe	_	
departeit	départir	VERcjg	conjugue	_	
departeit	partir	VERppe	participe passe	_	
departeit	partir	VERcjg	conjugue	_	
departeit	départir	VERppe	participe passe	VerbForm=Fin	
departeit	départir	VERcjg	conjugue	VerbForm=Fin	
departesisent	départir	VERcjg	conjugue	_	
départesist	départir	VERppe	participe passe	_	
départesist	partir	VERppe	participe passe	_	
departez	départir	VERcjg	conjugue	VerbForm=Fin	
départi	départir	VERppe	participe passe	_	
departid	départir	VERcjg	conjugue	_	
départir	départir	VERinf	infinitif	_	
departira	départir	VERcjg	conjugue	VerbForm=Fin	
departiras	départir	VERcjg	conjugue	_	
departiray	départir	VERcjg	conjugue	_	
departireient	départir	VERcjg	conjugue	_	
départirent	départir	VERppe	participe passe	_	
departirez	départir	VERcjg	conjugue	_	
departiroient	départir	VERcjg	conjugue	_	
départiroient	départir	VERppe	participe passe	_	
départiroient	partir	VERppe	participe passe	_	
departirons	départir	VERcjg	conjugue	_	
departiront	départir	VERcjg	conjugue	VerbForm=Fin	
departissent	départir	VERcjg	conjugue	_	
départissent	départir	VERppe	participe passe	_	
departist	départir	VERcjg	conjugue	_	
departoient	départir	VERcjg	conjugue	VerbForm=Fin	
departoit	départir	VERcjg	conjugue	VerbForm=Fin	
départoit	départir	VERppe	participe passe	_	
departons	départir	VERcjg	conjugue	_	
departum	départir	VERcjg	conjugue	VerbForm=Fin	
departy	départir	VERppe	participe passe	_	
départy	départir	VERppe	participe passe	_	
departyr	départir	VERinf	infinitif	_	
departyra	départir	VERcjg	conjugue	_	
deparz	départir	VERcjg	conjugue	_	
depassée	dépasser	VERppe	participe passe	_	
depecérái	dépecer	VERppe	participe passe	_	
depecerent	dépecer	VERcjg	conjugue	_	
dépecher	dépêcher	VERppe	participe passe	_	
depechïez	dépêcher	VERppe	participe passe	_	
depechïez	dépecer	VERppe	participe passe	_	
depécier	dépecer	VERinf	infinitif	_	
depécier	dépêcher	VERinf	infinitif	_	
depeciérent	dépecer	VERcjg	conjugue	_	
depeciés	dépecer	VERppe	participe passe	VerbForm=Part|Tense=Past	
depeciét	dépecer	VERppe	participe passe	_	
depeçout	dépecer	VERcjg	conjugue	VerbForm=Fin	
dependens	dépendre	VERppe	participe passe	_	
dependens	dépendre	VERppa	ppa	_	
depercent	dépercer	VERcjg	conjugue	_	
depeschad	dépêcher	VERppe	participe passe	_	
depeschad	dépecer	VERppe	participe passe	_	
depeschad	dépasser	VERppe	participe passe	_	
depeschád	dépecer	VERppe	participe passe	_	
depeschád	dépêcher	VERppe	participe passe	_	
depeschád	dépasser	VERppe	participe passe	_	
depescíer	dépecer	VERinf	infinitif	_	
depessa	dépecer	VERcjg	conjugue	_	
depesserai	dépecer	VERcjg	conjugue	_	
depesserai	dépasser	VERcjg	conjugue	_	
depicoient	dépiquer	VERcjg	conjugue	_	
depiece	dépecer	VERcjg	conjugue	VerbForm=Fin	
depiecé	dépecer	VERppe	participe passe	_	
depiecé	piecer	VERppe	participe passe	_	
depiecé	dépêcher	VERppe	participe passe	_	
depiecent	dépecer	VERcjg	conjugue	VerbForm=Fin	
depiesced	dépecer	VERcjg	conjugue	_	
deporteir	déporter	VERinf	infinitif	_	
deporteir	porter	VERinf	infinitif	_	
deporteray	déporter	VERcjg	conjugue	_	
deposad	déposer	VERcjg	conjugue	VerbForm=Fin	
deppart	départir	VERcjg	conjugue	_	
deppartir	départir	VERinf	infinitif	_	
depprimez	déprimer	VERppe	participe passe	_	
depreat	dépréer	VERcjg	conjugue	_	
depreia	dépréer	VERcjg	conjugue	_	
depreient	dépréer	VERcjg	conjugue	_	
depreier	dépréer	VERinf	infinitif	_	
depreint	épreindre	VERcjg	conjugue	_	
depreint	dépréer	VERcjg	conjugue	_	
deprienst	prendre	VERcjg	conjugue	_	
deprienst	peindre	VERcjg	conjugue	_	
deprimee	déprimer	VERppe	participe passe	_	
depubliee	dépublier	VERppe	participe passe	_	
depubliee	publier	VERppe	participe passe	_	
depuliet	dépublier	VERcjg	conjugue	_	
deputés	députer	VERcjg	conjugue	_	
députés	députer	VERppe	participe passe	_	
dequit	cuider	VERcjg	conjugue	_	
dequit	cuire	VERcjg	conjugue	_	
dequit	quitter	VERcjg	conjugue	_	
dequit	quérir	VERcjg	conjugue	_	
dequit	décevoir	VERcjg	conjugue	_	
dequit	déchirer	VERcjg	conjugue	_	
deraisnad	déraisner	VERcjg	conjugue	VerbForm=Fin	
dereyner	déraisner	VERinf	infinitif	_	
derogant	déroger	VERppa	ppa	_	
derompent	dérompre	VERcjg	conjugue	_	
dérompoient	dérompre	VERppe	participe passe	_	
derompt	dérompre	VERcjg	conjugue	_	
derompus	dérompre	VERcjg	conjugue	_	
derompuz	dérompre	VERppe	participe passe	_	
deront	dérompre	VERcjg	conjugue	VerbForm=Fin	
deront	donner	VERcjg	conjugue	_	
deront	dérompre	VERcjg	conjugue	_	
derrachommes	arracher	VERcjg	conjugue	_	
derramee	ramer	VERppe	participe passe	_	
derramee	terrer	VERppe	participe passe	_	
derramee	donner	VERppe	participe passe	_	
derramee	douloir	VERppe	participe passe	_	
derroie	donner	VERcjg	conjugue	_	
derroie	terrer	VERcjg	conjugue	_	
derroie	errer	VERcjg	conjugue	_	
derroie	desroyer	VERcjg	conjugue	_	
derroie	dire	VERcjg	conjugue	_	
derumpent	dérompre	VERcjg	conjugue	VerbForm=Fin	
derumpet	dérompre	VERcjg	conjugue	VerbForm=Fin	
derumpit	dérompir	VERcjg	conjugue	_	
derumpt	dérompre	VERcjg	conjugue	VerbForm=Fin	
desabelist	désabellir	VERcjg	conjugue	VerbForm=Fin	
desacointera	accointer	VERcjg	conjugue	_	
desaffret	dessafrer	VERcjg	conjugue	VerbForm=Fin	
desapointéz	désappointer	VERppe	participe passe	_	
desappointe	désappointer	VERcjg	conjugue	_	
desappointéz	désappointer	VERppe	participe passe	_	
desarmés	désarmer	VERppe	participe passe	_	
désarmés	désarmer	VERppe	participe passe	_	
desarméz	désarmer	VERppe	participe passe	_	
desaveuent	désavouer	VERcjg	conjugue	_	
desavoua	désavouer	VERcjg	conjugue	_	
desavouoie	désavouer	VERcjg	conjugue	_	
descaucha	déchausser	VERcjg	conjugue	_	
descauchoit	déchausser	VERcjg	conjugue	VerbForm=Fin	
descaunz	descendre	VERppe	participe passe	_	
descaunz	choir	VERppe	participe passe	_	
desceingnent	desceindre	VERcjg	conjugue	_	
descend	descendre	VERppa	ppa	_	
descendera	descendre	VERcjg	conjugue	_	
descenderai	descendre	VERcjg	conjugue	VerbForm=Fin	
descenderoies	descendre	VERcjg	conjugue	_	
descendéz	descendre	VERppe	participe passe	_	
descendid	descendre	VERppe	participe passe	_	
descendied	descendre	VERcjg	conjugue	VerbForm=Fin	
descendierent	descendre	VERcjg	conjugue	_	
descendismes	descendre	VERcjg	conjugue	_	
descendit	descendre	VERcjg	conjugue	VerbForm=Fin	
descendoye	descendre	VERcjg	conjugue	_	
descendoyent	descendre	VERcjg	conjugue	_	
descendrat	descendre	VERcjg	conjugue	VerbForm=Fin	
descendrunt	descendre	VERcjg	conjugue	VerbForm=Fin	
descendy	descendre	VERppe	participe passe	_	
descerme	désarmer	VERcjg	conjugue	_	
desceu	dessavoir	VERppe	participe passe	_	
desceu	décevoir	VERppe	participe passe	_	
deschargant	décharger	VERppa	ppa	_	
deschargé	décharger	VERppe	participe passe	_	
deschargez	décharger	VERcjg	conjugue	_	
deschargiéz	décharger	VERppe	participe passe	_	
deschausez	déchausser	VERppe	participe passe	_	
deschevalchierent	déchevaucher	VERcjg	conjugue	VerbForm=Fin	
deschevalchierent	chevaucher	VERcjg	conjugue	_	
deschirat	déchirer	VERcjg	conjugue	_	
deschirat	désirer	VERcjg	conjugue	_	
deschosoit	déchoir	VERcjg	conjugue	_	
deschosoit	découdre	VERcjg	conjugue	_	
deschosoit	déchausser	VERcjg	conjugue	_	
descierra	désirer	VERcjg	conjugue	_	
descierra	déchirer	VERcjg	conjugue	_	
descierra	scier	VERcjg	conjugue	_	
desclara	déclarer	VERcjg	conjugue	_	
desclerez	déclarer	VERppe	participe passe	_	
desclerie	déclarer	VERcjg	conjugue	_	
desclerie	déclore	VERcjg	conjugue	_	
desclerrons	déclarer	VERcjg	conjugue	_	
desclerrons	clarir	VERcjg	conjugue	_	
desclerrons	clore	VERcjg	conjugue	_	
desclóse	déclore	VERcjg	conjugue	_	
desclost	déclore	VERcjg	conjugue	_	
descloufichiez	cloficher	VERppe	participe passe	_	
descoevre	découvrir	VERcjg	conjugue	_	
descognoist	déconnaître	VERcjg	conjugue	_	
desconbre	décombrer	VERcjg	conjugue	VerbForm=Fin	
desconfesisses	déconfire	VERcjg	conjugue	_	
desconfi	déconfire	VERcjg	conjugue	_	
desconficte	déconfire	VERppe	participe passe	_	
desconfies	desconfier	VERppe	participe passe	_	
desconfiras	desconfier	VERcjg	conjugue	_	
desconfiras	déconfire	VERcjg	conjugue	_	
desconfiras	confire	VERcjg	conjugue	_	
desconfirent	déconfire	VERcjg	conjugue	VerbForm=Fin	
desconfisent	déconfire	VERcjg	conjugue	_	
desconfisoit	déconfire	VERcjg	conjugue	VerbForm=Fin	
desconfissent	déconfire	VERcjg	conjugue	_	
desconfissoient	déconfire	VERcjg	conjugue	_	
desconfist	déconfire	VERcjg	conjugue	_	
desconfíst	déconfire	VERcjg	conjugue	_	
desconfít	déconfire	VERppe	participe passe	_	
desconfortée	déconforter	VERppe	participe passe	_	
desconfortés	déconforter	VERppe	participe passe	_	
desconfortet	déconforter	VERcjg	conjugue	VerbForm=Fin	
desconfortéz	déconforter	VERppe	participe passe	_	
descongneue	déconnaître	VERppe	participe passe	_	
descongnoistre	déconnaître	VERinf	infinitif	_	
desconnut	déconnaître	VERcjg	conjugue	_	
desconseilét	déconseiller	VERppe	participe passe	VerbForm=Part|Tense=Past	
desconseillee	déconseiller	VERppe	participe passe	_	
desconseilliés	déconseiller	VERcjg	conjugue	_	
desconu	déconnaître	VERppe	participe passe	_	
desconuz	déconnaître	VERppe	participe passe	_	
descoulour	décolorer	VERcjg	conjugue	_	
descoulouree	décolorer	VERppe	participe passe	_	
descoulourez	décolorer	VERppe	participe passe	_	
descoulpez	descoulper	VERcjg	conjugue	_	
descoupée	découper	VERppe	participe passe	_	
descourage	décourager	VERcjg	conjugue	_	
descouragez	décourager	VERcjg	conjugue	_	
descouraigéz	décourager	VERppe	participe passe	_	
descousi	découdre	VERcjg	conjugue	_	
descousue	découdre	VERppe	participe passe	_	
descouvers	découvrir	VERcjg	conjugue	_	
descouverte	découvrir	VERppe	participe passe	VerbForm=Part|Tense=Past	
descouvertes	découvrir	VERppe	participe passe	_	
descouvre	découvrir	VERcjg	conjugue	_	
descouvrent	découvrir	VERcjg	conjugue	_	
descouvrerent	découvrir	VERcjg	conjugue	_	
descouvrerent	couvrer	VERcjg	conjugue	_	
descouvreroit	découvrir	VERcjg	conjugue	_	
descouvrés	découvrir	VERppe	participe passe	_	
descouvrés	découvrir	VERcjg	conjugue	_	
descouvri	découvrir	VERcjg	conjugue	VerbForm=Fin	
descouvrirent	découvrir	VERcjg	conjugue	_	
descouvrirs	découvrir	VERinf	infinitif	_	
descouvrisse	découvrir	VERcjg	conjugue	_	
descouvrit	découvrir	VERcjg	conjugue	_	
descouvry	découvrir	VERppe	participe passe	_	
descouvry	découvrir	VERcjg	conjugue	_	
descovereit	découvrir	VERcjg	conjugue	_	
descovereit	couvrir	VERcjg	conjugue	_	
descoveri	découvrir	VERcjg	conjugue	_	
descoverir	découvrir	VERinf	infinitif	_	
descoverir	couvrir	VERinf	infinitif	_	
descoverroie	découvrir	VERcjg	conjugue	VerbForm=Fin	
descovertez	découvrir	VERppe	participe passe	_	
descovri	découvrir	VERcjg	conjugue	VerbForm=Fin	
descovrissent	découvrir	VERcjg	conjugue	VerbForm=Fin	
descovroiz	découvrir	VERcjg	conjugue	_	
descovroiz	couvrir	VERcjg	conjugue	_	
descowés	découvrir	VERppe	participe passe	_	
descreü	décroître	VERppe	participe passe	_	
descrevé	crever	VERppe	participe passe	_	
descrevé	escrever	VERppe	participe passe	_	
descrevé	décroître	VERppe	participe passe	_	
descrevé	décrire	VERppe	participe passe	_	
descriere	décrier	VERcjg	conjugue	_	
descriere	décrire	VERcjg	conjugue	_	
descriere	écrire	VERcjg	conjugue	_	
descripte	décrire	VERcjg	conjugue	_	
descrissent	décroître	VERcjg	conjugue	_	
descrissent	décrire	VERcjg	conjugue	_	
descrissent	décrier	VERcjg	conjugue	_	
descrist	décrire	VERcjg	conjugue	VerbForm=Fin	
descrivoie	décrire	VERcjg	conjugue	_	
descrivoie	écrire	VERcjg	conjugue	_	
descrus	décroître	VERppe	participe passe	_	
descrus	croire	VERppe	participe passe	_	
descrus	croître	VERppe	participe passe	_	
descrus	décrire	VERppe	participe passe	_	
descrus	décrier	VERppe	participe passe	_	
descrut	décroître	VERcjg	conjugue	VerbForm=Fin	
desçu	dessavoir	VERppe	participe passe	_	
descumfist	déconfire	VERcjg	conjugue	VerbForm=Fin	
descumforta	déconforter	VERcjg	conjugue	_	
descumforta	conforter	VERcjg	conjugue	_	
descumforte	déconforter	VERcjg	conjugue	_	
descunfiraí	déconfire	VERppe	participe passe	_	
descunfiseient	confire	VERcjg	conjugue	_	
descunfiséit	déconfire	VERppe	participe passe	_	
descunfist	déconfire	VERcjg	conjugue	_	
descunfíst	déconfire	VERcjg	conjugue	_	
descunfortent	déconforter	VERcjg	conjugue	_	
descunfortent	conforter	VERcjg	conjugue	_	
descunseillez	déconseiller	VERppe	participe passe	_	
descuvre	découvrir	VERcjg	conjugue	_	
descuvrir	découvrir	VERcjg	conjugue	VerbForm=Fin	
desdaigne	dédaigner	VERcjg	conjugue	VerbForm=Fin	
desdaigniez	dédaigner	VERcjg	conjugue	VerbForm=Fin	
desdaingne	dédaigner	VERcjg	conjugue	VerbForm=Fin	
desdamagiés	dédommager	VERppe	participe passe	_	
desdeïst	dire	VERcjg	conjugue	_	
desdeïst	dédire	VERcjg	conjugue	_	
desdeniat	dénier	VERcjg	conjugue	_	
desdeniat	dédaigner	VERcjg	conjugue	_	
desdictes	dire	VERcjg	conjugue	_	
desdie	dédire	VERcjg	conjugue	_	
desdist	dédire	VERcjg	conjugue	VerbForm=Fin	
desditz	dédire	VERppe	participe passe	_	
desdiz	dédire	VERppe	participe passe	_	
desduyt	déduire	VERcjg	conjugue	_	
deseese	aaiser	VERcjg	conjugue	_	
deseese	seoir	VERcjg	conjugue	_	
deseivret	dessevrer	VERcjg	conjugue	VerbForm=Fin	
desemparé	désemparer	VERppe	participe passe	_	
desemparent	désemparer	VERcjg	conjugue	_	
deseníveras	enivrer	VERcjg	conjugue	_	
deseparez	séparer	VERppe	participe passe	_	
deseriteiez	déshériter	VERcjg	conjugue	VerbForm=Fin	
deserités	déshériter	VERppe	participe passe	_	
desertéés	déserter	VERppe	participe passe	_	
desertethe	déserter	VERcjg	conjugue	_	
deseruent	desservir	VERcjg	conjugue	_	
deseruent	servir	VERcjg	conjugue	_	
deservetz	desservir	VERcjg	conjugue	_	
deservetz	server	VERcjg	conjugue	_	
deservetz	servir	VERcjg	conjugue	_	
déservi	desservir	VERppe	participe passe	_	
deservid	desservir	VERppe	participe passe	_	
deservid	servir	VERppe	participe passe	_	
deservira	desservir	VERcjg	conjugue	_	
deserviront	desservir	VERcjg	conjugue	_	
deservy	desservir	VERppe	participe passe	_	
desesperee	désespérer	VERppe	participe passe	_	
desesperée	désespérer	VERppe	participe passe	VerbForm=Part|Tense=Past	
desesperés	désespérer	VERcjg	conjugue	_	
desespoire	désespérer	VERcjg	conjugue	_	
desespoy	désespérer	VERcjg	conjugue	_	
deseverer	dessevrer	VERinf	infinitif	_	
desevret	dessevrer	VERcjg	conjugue	VerbForm=Fin	
desevrot	décevoir	VERcjg	conjugue	_	
desevrot	dessevrer	VERcjg	conjugue	_	
desevrot	sevrer	VERcjg	conjugue	_	
desevrouent	dessevrer	VERcjg	conjugue	_	
desevrouent	décevoir	VERcjg	conjugue	_	
desevrout	décevoir	VERcjg	conjugue	_	
