form	lemma_def	pos	src_mot
Cadwan	Cadwan	NOMpro	
Caen	Caen	NOMpro	
Caffa	Caffa	NOMpro	
Cahors	Cahors	NOMpro	
Caïn	Caïn	NOMpro	
Caïns	Caïn	NOMpro	
Caire	Caire	NOMpro	
Cäïus	Caïus	NOMpro	
Cäïus	Gaïus	NOMpro	
Cäïus	Caius	NOMpro	
Calais	Calais	NOMpro	
Calays	Calais	NOMpro	
Calleville	Charleville	NOMpro	
Calleville	Calleville	NOMpro	
Cambray	Cambrai	NOMpro	
Cambresis	Cambresis	NOMpro	
Cambrésis	Cambrésis	NOMpro	
Camille	Camille	NOMpro	
Campanie	Campanie	NOMpro	
Campobache	Campobache	NOMpro	
Canaan	Canaan	NOMpro	
Cananee	Cananee	NOMpro	
Canteleu	Canteloup	NOMpro	
Canterbers	Canterbury	NOMpro	
Caours	Cahors	NOMpro	
Cappella	Cappella	NOMpro	
Carcassonne	Carcassonne	NOMpro	
Cardonne	Cardonne	NOMpro	
Caro	Caro	NOMpro	
Caron	Caron	NOMpro	
Carvele	Calveley	NOMpro	
Casibus	Casibus	NOMpro	
Castelle	Castille	NOMpro	
Castille	Castille	NOMpro	
Catellus	Catellus	NOMpro	
Caterine	Catherine	NOMpro	
Cathon	Cathon	NOMpro	
Caunterbery	Canterbury	NOMpro	
Caunterbury	Canterbury	NOMpro	
Caunterbury	Canterburi	NOMpro	
Cayn	Caïn	NOMpro	
Caÿn	Caïn	NOMpro	
Cea	Cea	NOMpro	
Cecile	Cécile	NOMpro	
Cecile	Sicile	NOMpro	
Cecille	Cécile	NOMpro	
Cedron	Cédron	NOMpro	
Cedrón	Cédron	NOMpro	
Celssus	Celsus	NOMpro	
Cephas	Cephas	NOMpro	
Cesille	Sicile	NOMpro	
Chaalons	Châlons	NOMpro	
Chador	Cador	NOMpro	
Chaingny	Gagny	NOMpro	
Chalon	Châlons	NOMpro	
Champangne	Champagne	NOMpro	
Chanáán	Canaam	NOMpro	
Chanáán	Chanaan	NOMpro	
Chanville	Chanville	NOMpro	
Chanville	Janville	NOMpro	
Chanville	Gauville	NOMpro	
Chardin	Chardin	NOMpro	
Charente	Charente	NOMpro	
Charenton	Charenton	NOMpro	
Charlemaine	Charlemagne	NOMpro	
Charlemainne	Charlemagne	NOMpro	
Charlon	Charles	NOMpro	
Charrolois	Charolais	NOMpro	
Charroloys	Charolais	NOMpro	
Chastaé	Chastaé	NOMpro	
Chastelguyon	Châtel-Guyon	NOMpro	
Chastellet	Châtelet	NOMpro	
Chastillon	Châtillon	NOMpro	
Chaulmont	Chaumont	NOMpro	
Chaumont	Chaumont	NOMpro	
Chauvigny	Chavigny	NOMpro	
Chauvigny	Chavigni	NOMpro	
Chauvigny	Sauvigny	NOMpro	
Chierebourg	Cherbourg	NOMpro	
Childebert	Childebert	NOMpro	
Childeric	Childéric	NOMpro	
Childerich	Childéric	NOMpro	
Chinoneis	Chinonais	NOMpro	
Chippre	Chypre	NOMpro	
Chipre	Chypre	NOMpro	
Chistiax	Cîteau	NOMpro	
Chrestian	Christian	NOMpro	
Christi	Christ	NOMpro	
Christi	Christus	NOMpro	
Christofle	Christofle	NOMpro	
Christum	Christum	NOMpro	
Christus	Christ	NOMpro	
Christus	Christus	NOMpro	
Chyne	Chine	NOMpro	
Chynon	Chinon	NOMpro	
Ciceron	Ciréron	NOMpro	
Cingïus	Quincius	NOMpro	
Cingïus	Cinglius	NOMpro	
Ciprian	Ciprian	NOMpro	
Ciricourt	Ciricourt	NOMpro	
Ciricourt	Sericourt	NOMpro	
Cistiaux	Cîteau	NOMpro	
Citheron	Citheron	NOMpro	
Citheron	Cythéron	NOMpro	
Cix	Cix	NOMpro	
Clamecy	Clamecy	NOMpro	
Clarance	Clarence	NOMpro	
Clarance	Clairange	NOMpro	
Clarence	Clarence	NOMpro	
Clarence	Glarentza	NOMpro	
Clarice	Clarice	NOMpro	
Claudian	Claudian	NOMpro	
Claudin	Claudin	NOMpro	
Clery	Clery	NOMpro	
Clèves	Clèves	NOMpro	
Cliçon	Clisson	NOMpro	
Climent	Clément	NOMpro	
Clocestre	Glocestre	NOMpro	
Clode	Claude	NOMpro	
Clodoveu	Clovis	NOMpro	
Clodovius	Clovis	NOMpro	
Clotaire	Clotaire	NOMpro	
Clotaires	Clotaire	NOMpro	
Clotilde	Clotilde	NOMpro	
Clovys	Clovis	NOMpro	
Cluny	Cluny	NOMpro	
Codrus	Codrus	NOMpro	
Cognac	Cognac	NOMpro	
Colard	Colard	NOMpro	
Colongne	Cologne	NOMpro	
Colongne	Colongne	NOMpro	
Comminges	Commines	NOMpro	
Comminges	Comminges	NOMpro	
Commynges	Commines	NOMpro	
Compiengne	Compiègne	NOMpro	
Conach	Conac	NOMpro	
Conach	Aix	NOMpro	
Conach	Connac	NOMpro	
Conflans	Conflans	NOMpro	
Constantinoble	Constantinople	NOMpro	
Constantins	Constantin	NOMpro	
Constantius	Constantius	NOMpro	
Conti	Conti	NOMpro	
Corbueil	Corbeil	NOMpro	
Corfo	Corfou	NOMpro	
Corinte	Corinthe	NOMpro	
Cornuaille	Cornouaille	NOMpro	
Costantinople	Costantinople	NOMpro	
Cotigni	Coigni	NOMpro	
Cotta	Cotta	NOMpro	
Couchi	Coucy	NOMpro	
Couci	Coucy	NOMpro	
Coucy	Coucy	NOMpro	
Coulongne	Cologne	NOMpro	
Courtrai	Courtray	NOMpro	
Courtray	Courtray	NOMpro	
Coustances	Coutances	NOMpro	
Coustantinoble	Constantinople	NOMpro	
Coustentin	Constantin	NOMpro	
Coustentin	Cotentin	NOMpro	
Coustentin	Coutentin	NOMpro	
Coustentinoble	Constantinople	NOMpro	
Coustentins	Constantin	NOMpro	
Coustentins	Cotentin	NOMpro	
Coustentins	Coutentin	NOMpro	
Craon	Craon	NOMpro	
Creil	Creil	NOMpro	
Creüsa	Créuse	NOMpro	
Cumes	Cumes	NOMpro	
Cunan	Conan	NOMpro	
Cupido	Cupidon	NOMpro	
Curcius	Curtius	NOMpro	
Cyprian	Cyprien	NOMpro	
Cytheron	Cythéron	NOMpro	
Dagonbert	Dagobert	NOMpro	
Dagoubert	Dagobert	NOMpro	
Dallida	Dalida	NOMpro	
Dalphiné	Dauphiné	NOMpro	
Damien	Damien	NOMpro	
Damiete	Damiette	NOMpro	
Damiette	Damiette	NOMpro	
Dampierre	Dampierre	NOMpro	
Daneys	Danois	NOMpro	
Dangobert	Dagobert	NOMpro	
Danpiere	Dompaire	NOMpro	
Dardanus	Dardanus	NOMpro	
Dauid	David	NOMpro	
Davít	David	NOMpro	
Decius	Decius	NOMpro	
Deïanira	Deyanira	NOMpro	
Denys	Denis	NOMpro	
Denyse	Denise	NOMpro	
Deodocien	Eudocie	NOMpro	
Dictis	Dictis	NOMpro	
Didascalicon	Didascalicon	NOMpro	
Diepe	Dieppe	NOMpro	
Digon	Dijon	NOMpro	
Dijon	Dijon	NOMpro	
Diomedés	Diomède	NOMpro	
Dominus	Dominus	NOMpro	
Dorothee	Dorothée	NOMpro	
Dorothee	Dorotée	NOMpro	
Dovere	Douvres	NOMpro	
Dreues	Droon	NOMpro	
Duresté	Duresté	NOMpro	
Dydo	Dido	NOMpro	
Dyeppe	Dieppe	NOMpro	
Eadem	Edem	NOMpro	
Eadem	Aden	NOMpro	
Ebbo	Ebbon	NOMpro	
Ebbo	Ebon	NOMpro	
Ector	Hector	NOMpro	
Ecuba	Ecuba	NOMpro	
Edouard	Édouard	NOMpro	
Edouart	Édouard	NOMpro	
Egee	Égée	NOMpro	
Egipte	Égypte	NOMpro	
Eius	Eius	NOMpro	
Elayne	Hélène	NOMpro	
Eleazar	Eleazar	NOMpro	
Eleine	Hélène	NOMpro	
Elenor	Hélénor	NOMpro	
Eleyne	Hélène	NOMpro	
Elíam	Elian	NOMpro	
Eliezer	Eliezer	NOMpro	
Elinas	Elymas	NOMpro	
Elinas	Eli	NOMpro	
Elinas	Helena	NOMpro	
Elinas	Elimnel	NOMpro	
Elissïens	Elysiens	NOMpro	
Elizabeth	Élisabeth	NOMpro	
Eloi	Eloy	NOMpro	
Eloy	Eloy	NOMpro	
Elyachím	Elyachim	NOMpro	
Emath	Emath	NOMpro	
Emáth	Emath	NOMpro	
Emáth	Emat	NOMpro	
Émáth	Emath	NOMpro	
Émáth	Emat	NOMpro	
Emaüs	Emaüs	NOMpro	
Emelyne	Emeline	NOMpro	
Emelyne	Emelie	NOMpro	
Enee	Énée	NOMpro	
Enfrosine	Euphrosine	NOMpro	
Enfrosine	Frosine	NOMpro	
Engerran	Engueran	NOMpro	
Engerran	Enguerran	NOMpro	
Engerran	Enguerrand	NOMpro	
Engerran	Angerran	NOMpro	
Engerrans	Enguerrand	NOMpro	
Engoulesme	Angoulème	NOMpro	
Enguerran	Enguerran	NOMpro	
Ermenie	Arménie	NOMpro	
Ermignach	Armagnac	NOMpro	
Ernald	Arnaud	NOMpro	
Ernald	Arnault	NOMpro	
Ernaud	Arnaud	NOMpro	
Ernulf	Arnulf	NOMpro	
Ernulf	Arnould	NOMpro	
Ernulf	Arnoulf	NOMpro	
Erod	Hérode	NOMpro	
Erode	Hérode	NOMpro	
Escallon	Escalon	NOMpro	
Escalon	Escalon	NOMpro	
Esclavonie	Esclavonie	NOMpro	
Escocë	Écosse	NOMpro	
Esdras	Esdras	NOMpro	
Espaine	Espagne	NOMpro	
Esparnay	Épernay	NOMpro	
Estempes	Étampes	NOMpro	
Estienne	Étienne	NOMpro	
Estouteville	Estouteville	NOMpro	
Esvreux	Évreux	NOMpro	
Etienne	Étienne	NOMpro	
Eugene	Eugène	NOMpro	
Eulalie	Eulalie	NOMpro	
Eüriale	Euriale	NOMpro	
Eüriale	Euryale	NOMpro	
Eurialus	Euryale	NOMpro	
Europpe	Europe	NOMpro	
Eustace	Eustache	NOMpro	
Eustaces	Eustache	NOMpro	
Eustaches	Eustache	NOMpro	
Eustoche	Eustoche	NOMpro	
Evain	Ève	NOMpro	
Evander	Evandre	NOMpro	
Éve	Ève	NOMpro	
Everwic	York	NOMpro	
Evreux	Évreux	NOMpro	
Evroïn	Ebroïn	NOMpro	
Ewein	Yvain	NOMpro	
Ezechías	Ézéchias	NOMpro	
Ezechíe	Ézéchiel	NOMpro	
Ezechies	Ézéchiel	NOMpro	
Ezricam	Erigan	NOMpro	
Ezricam	Erice	NOMpro	
Fabius	Fabius	NOMpro	
Fabricius	Fabricius	NOMpro	
Febus	Phébus	NOMpro	
Fecit	Fecit	NOMpro	
Federic	Frédéric	NOMpro	
Fedric	Frédéric	NOMpro	
Feleton	Felton	NOMpro	
Fermin	Firmin	NOMpro	
Ferrey	Ferry	NOMpro	
Flavy	Flavy	NOMpro	
Flegeton	Flegeton	NOMpro	
Florans	Florent	NOMpro	
Florimons	Florimont	NOMpro	
Florimons	Florimond	NOMpro	
Florimont	Florimont	NOMpro	
Foeiz	Foix	NOMpro	
Fontenay	Fontenay	NOMpro	
Fontenoi	Fontenoy	NOMpro	
Fortunatus	Fortunatus	NOMpro	
Fouke	Fouques	NOMpro	
Fourmigny	Formigny	NOMpro	
Francisque	Francis	NOMpro	
Francoys	François	NOMpro	
Fransomme	François	NOMpro	
Fransomme	France	NOMpro	
Fraunce	France	NOMpro	
Frence	France	NOMpro	
Fribourg	Fribourg	NOMpro	
Gabaón	Gabaon	NOMpro	
Gachius	Gachius	NOMpro	
Gadiffer	Gadifer	NOMpro	
Gadiffer	Gadiffier	NOMpro	
Gaïus	Gaïus	NOMpro	
Galaes	Galaes	NOMpro	
Galesus	Galesus	NOMpro	
Galian	Galian	NOMpro	
Galilea	Galilée	NOMpro	
Galilée	Galilée	NOMpro	
Galiléé	Galilée	NOMpro	
Galiléé	Gallilée	NOMpro	
Gallici	Gallici	NOMpro	
Gamaliel	Gamaliel	NOMpro	
Gascongne	Gascogne	NOMpro	
Gaucourt	Gaucourt	NOMpro	
Gaudentius	Gaudentius	NOMpro	
Gaure	Gaure	NOMpro	
Gauthier	Gauthier	NOMpro	
Gautiers	Gauthier	NOMpro	
Gauwain	Gauvain	NOMpro	
Gaytan	Gaytan	NOMpro	
Gaza	Gaza	NOMpro	
Geffrei	Geoffroy	NOMpro	
Geffroy	Geoffroy	NOMpro	
Gefroy	Geoffroy	NOMpro	
Genese	Genèse	NOMpro	
Genesim	Genesim	NOMpro	
Genesin	Genesim	NOMpro	
Genesin	Genèse	NOMpro	
Geneviefve	Geneviefve	NOMpro	
Geneviefve	Geneviève	NOMpro	
Genevieve	Geneviève	NOMpro	
Genius	Cenus	NOMpro	
Genius	Venius	NOMpro	
Genius	Junius	NOMpro	
Genyus	Cenus	NOMpro	
Genyus	Venius	NOMpro	
Geoffray	Geoffroy	NOMpro	
Geronce	Geronce	NOMpro	
Gerosme	Jérôme	NOMpro	
Gervais	Gervais	NOMpro	
Gervaise	Gervais	NOMpro	
Gervaise	Gervaise	NOMpro	
Gieffroy	Geoffroy	NOMpro	
Gilbert	Gilbert	NOMpro	
Gilebert	Gilbert	NOMpro	
Gille	Gilles	NOMpro	
Gillebers	Gilbert	NOMpro	
Gilon	Gilon	NOMpro	
Girars	Girard	NOMpro	
Girart	Girard	NOMpro	
Girauld	Girault	NOMpro	
Girauld	Guiraud	NOMpro	
Girauld	Gerold	NOMpro	
Gisors	Gisors	NOMpro	
Givry	Givry	NOMpro	
Glaude	Claude	NOMpro	
Gloëcestre	Gloucester	NOMpro	
Godeffroy	Godefroy	NOMpro	
Godefroy	Godefroy	NOMpro	
Godefroys	Godefroy	NOMpro	
Godolias	Godolias	NOMpro	
Goffroy	Geoffroy	NOMpro	
Goffroys	Geoffroy	NOMpro	
Gofroi	Geoffroy	NOMpro	
Goliast	Goliath	NOMpro	
Goliat	Goliat	NOMpro	
Goliat	Goliath	NOMpro	
Goliáth	Goliath	NOMpro	
Goliáth	Goliat	NOMpro	
Gombaus	Gombaut	NOMpro	
Gombaut	Gombaut	NOMpro	
Gomorre	Gomorrhe	NOMpro	
Gondebalt	Gondebaud	NOMpro	
Gozam	Gossen	NOMpro	
Gozam	Gazan	NOMpro	
Gozán	Gossen	NOMpro	
Gozán	Gazan	NOMpro	
Gracien	Gracien	NOMpro	
Grantmont	Grantmont	NOMpro	
Gratiam	Gratian	NOMpro	
Gratiam	Gracien	NOMpro	
Gravelingues	Gravelines	NOMpro	
Grecce	Grèce	NOMpro	
Gregoires	Grégoire	NOMpro	
Grigny	Grigny	NOMpro	
Grigoire	Grégoire	NOMpro	
Grite	Grite	NOMpro	
Guales	Galles	NOMpro	
Gualun	Galon	NOMpro	
Gueldres	Gueldre	NOMpro	
Guesclin	Guesclin	NOMpro	
Guienne	Guyenne	NOMpro	
Guillam	Guillaume	NOMpro	
Guillam	Guilain	NOMpro	
Guilleaume	Guillaume	NOMpro	
Guillerme	Guillaume	NOMpro	
Guillermes	Guillaume	NOMpro	
Guilliam	Guillaume	NOMpro	
Guilliam	William	NOMpro	
Guilliam	Guilain	NOMpro	
Gutlande	Jutland	NOMpro	
Gutlande	Jutlande	NOMpro	
Guy	Guy	NOMpro	
Guyenne	Guyenne	NOMpro	
Guyot	Guyot	NOMpro	
Gyeffroy	Geoffroy	NOMpro	
Gyon	Gion	NOMpro	
Gyón	Gion	NOMpro	
Hainaut	Hainaut	NOMpro	
Hainnaut	Hainaut	NOMpro	
Haïót	Haod	NOMpro	
Haïót	Aod	NOMpro	
Hamelaincort	Hamelaincort	NOMpro	
Hamtune	Hampton	NOMpro	
Hannibal	Hanibal	NOMpro	
Hanri	Henri	NOMpro	
Hanris	Henri	NOMpro	
Haquin	Haquin	NOMpro	
Harcourt	Harcourt	NOMpro	
Harecourt	Harcourt	NOMpro	
Harfleu	Harfleur	NOMpro	
Haymmon	Hamon	NOMpro	
Haynaut	Hainaut	NOMpro	
Haynnau	Hainaut	NOMpro	
Hedin	Hedin	NOMpro	
Helaine	Hélène	NOMpro	
Heleine	Hélène	NOMpro	
Heleinne	Hélène	NOMpro	
Helí	Eli	NOMpro	
Heliu	Helius	NOMpro	
Heliu	Elius	NOMpro	
Heloine	Hélène	NOMpro	
Helyseus	Elisée	NOMpro	
Hemon	Hemon	NOMpro	
Henault	Henault	NOMpro	
Henricus	Henricus	NOMpro	
Henris	Henri	NOMpro	
Henriz	Henri	NOMpro	
Henry	Henri	NOMpro	
Hérault	Hérault	NOMpro	
Herculés	Hercule	NOMpro	
Herefort	Erfort	NOMpro	
Herefort	Herford	NOMpro	
Herford	Herford	NOMpro	
Hernoul	Arnould	NOMpro	
Herodes	Hérode	NOMpro	
Hesdin	Hesdin	NOMpro	
Hire	Hire	NOMpro	
Hismael	Ismael	NOMpro	
Hjerussalem	Jérusalem	NOMpro	
Hoel	Hoël	NOMpro	
Holande	Hollande	NOMpro	
Holivet	Olivier	NOMpro	
Hollande	Hollande	NOMpro	
