form	lemma_def	pos	genre	src_mot	nombre
advocas	avocat	NOMcom	masc		sg|pl
advocat	avocat	NOMcom	masc		sg|pl
advocate	avocate	NOMcom	fem		sg
advocation	avocation	NOMcom	fem		sg
advocatis	avocat	NOMcom	masc		sg|pl
advocatis	avocate	NOMcom	fem		pl
advocatis	avocatie	NOMcom	fem		pl
advoesons	avouaison	NOMcom	fem		pl
advys	avis	NOMcom	masc		sg|pl
advènement	avènement	NOMcom	masc		sg|pl
aetites	echite	NOMcom			pl-fem|sg-masc|pl-masc
afaires	afaire	NOMcom	masc	afáires	sg|pl
afaires	affaire	NOMcom	masc	afáires	sg|pl
afait	affait	NOMcom	masc	affait	sg|pl
afait	fait	NOMcom	masc	affait	sg|pl
afanz	ahan	NOMcom	masc		sg|pl
afautreüre	affeutrure	NOMcom	fem		sg
afaíre	affaire	NOMcom	masc		sg|pl
afetement	affaitement	NOMcom	masc		sg|pl
affait	affait	NOMcom	masc	affait	sg|pl
affait	affect	NOMcom	masc	affait	sg|pl
affait	fait	NOMcom	masc	affait	sg|pl
affanz	ahan	NOMcom	masc		sg|pl
affech	affiche	NOMcom	fem		sg
affech	effet	NOMcom	masc		sg|pl
affection	affection	NOMcom	fem		sg
affections	affection	NOMcom	fem		pl
affere	affaire	NOMcom	masc		sg|pl
affiance	affiance	NOMcom	fem		sg
affictions	affixion	NOMcom	fem		pl
affine	affin	NOMcom			
affinité	affinité	NOMcom	fem		sg
affit	affect	NOMcom	masc		sg|pl
affit	afi	NOMcom	masc		sg|pl
afflictïons	affliction	NOMcom	fem		pl
afflictïuns	affliction	NOMcom	fem		pl
affre	afres	NOMcom	masc		sg|pl
affricain	africain	NOMcom		affricain	
africain	africain	NOMcom		affricain	
afulement	affublement	NOMcom	masc		sg|pl
agaches	agace	NOMcom	fem		pl
agais	aguet	NOMcom	masc		sg|pl
agaitz	aguet	NOMcom	masc		sg|pl
agas	agas	NOMcom	masc		sg|pl
agatur	acheteur	NOMcom	masc		sg|pl
agatur	aguetteur	NOMcom	masc		sg|pl
agays	aguet	NOMcom	masc		sg|pl
aggravement	aggravement	NOMcom	masc		sg|pl
agien	gien	NOMcom	masc		sg|pl
agneaus	agneau	NOMcom	masc		sg|pl
agnelletz	agnelet	NOMcom	masc		sg|pl
agnelletz	annelet	NOMcom	masc		sg|pl
agnelx	agneau	NOMcom	masc		sg|pl
agoutz	agout	NOMcom	masc		sg|pl
agoutz	agoût	NOMcom	masc		sg|pl
agrée	agrée	NOMcom	fem		sg
aguaitz	aguet	NOMcom	masc		sg|pl
agueille	aiguille	NOMcom	fem		sg
agueit	aguet	NOMcom	masc		sg|pl
aguetz	aguet	NOMcom	masc		sg|pl
aguez	aguet	NOMcom	masc		sg|pl
aguilun	aiguillon	NOMcom	masc		sg|pl
aguler	aiguillier	NOMcom	masc		sg|pl
aguáit	aguet	NOMcom	masc		sg|pl
aherdauntz	aherdant	NOMcom	masc		sg|pl
aiaus	aïeul	NOMcom	masc		sg|pl
aicz	ais	NOMcom	masc		sg|pl
aicz	as	NOMcom	masc		sg|pl
aicz	haiz	NOMcom	masc		sg|pl
aicz	hec	NOMcom	masc		sg|pl
aiel	aé	NOMcom	masc		sg|pl
aiel	aïeul	NOMcom	masc		sg|pl
aielle	aïeule	NOMcom	fem		sg
aies	aïe	NOMcom	masc	ayes	sg|pl
aiez	aé	NOMcom	masc	áíéz	sg|pl
aigneau	agneau	NOMcom	masc		sg|pl
aigneaulz	agneau	NOMcom	masc		sg|pl
aigneaus	agneau	NOMcom	masc		sg|pl
aigniaus	agneau	NOMcom	masc		sg|pl
ail	ail	NOMcom	masc	aill	sg|pl
aile	aile	NOMcom	fem	ayle	sg
aimableté	aimableté	NOMcom	fem		sg
aimi	ami	NOMcom		aymi	
aingnaus	agneau	NOMcom	masc		sg|pl
aingnez	agne	NOMcom	fem		sg
aingnez	aigne	NOMcom			pl-fem|sg-masc|pl-masc
aingnez	aim	NOMcom	masc		sg|pl
aingnez	aine	NOMcom	fem		sg
aingnez	ane	NOMcom	fem		sg
aingnez	ange	NOMcom	masc		sg|pl
aingnez	annes	NOMcom	fem		sg
aingnez	aîné	NOMcom			pl-fem|sg-masc|pl-masc
aingnez	haigne	NOMcom	fem		sg
aingnez	haignée	NOMcom	fem		sg
aingnez	haine	NOMcom	fem		sg
ainnee	aîné	NOMcom			
ainnee	aînée	NOMcom	fem		sg
ainnée	aimé	NOMcom	fem		sg
ainnée	aine	NOMcom	fem		sg
ainnée	année	NOMcom	fem		sg
ainnée	aîné	NOMcom			
ainnée	aînée	NOMcom	fem		sg
ainnée	haine	NOMcom	fem		sg
ainnée	ânée	NOMcom	fem		sg
ainsnez	aîné	NOMcom			pl-fem|sg-masc|pl-masc
ainte	encre	NOMcom	fem		sg
aioel	aé	NOMcom	masc		sg|pl
aioel	aïeul	NOMcom	masc		sg|pl
aioel	aïeule	NOMcom	fem		sg
aioel	oeil	NOMcom	masc		sg|pl
aiole	aïeul	NOMcom	fem		sg
aiols	aïeul	NOMcom	masc		sg|pl
aious	aide	NOMcom	masc		sg|pl
aious	ajonc	NOMcom	masc		sg|pl
aious	ajout	NOMcom	masc		sg|pl
aious	ayon	NOMcom	masc		sg|pl
aious	aé	NOMcom	masc		sg|pl
aious	aïe	NOMcom	fem		pl
aious	aïeul	NOMcom	masc		sg|pl
aious	hayon	NOMcom	masc		sg|pl
aiselle	aisselle	NOMcom	fem		sg
aisemens	aisement	NOMcom	masc		sg|pl
aisseis	accès	NOMcom	masc		sg|pl
aisseis	aissas	NOMcom			pl-fem|sg-masc|pl-masc
aisseis	aisse	NOMcom	masc		sg|pl
aisseis	aisée	NOMcom	fem		pl
aisseis	assai	NOMcom	masc		sg|pl
aisseis	essai	NOMcom	masc		sg|pl
aisseis	esse	NOMcom	fem		pl
aisseis	essieu	NOMcom	masc		sg|pl
aisseis	issie	NOMcom	fem		pl
aisseis	oiseau	NOMcom	masc		sg|pl
aisseis	ossel	NOMcom	masc		sg|pl
aissels	essieu	NOMcom	masc	aísséls	sg|pl
aisséls	essieu	NOMcom	masc		sg|pl
aisséls	ossel	NOMcom	masc		sg|pl
aitre	aître	NOMcom	masc	áitre	sg|pl
ajournement	ajournement	NOMcom	masc		sg|pl
ajoustement	ajoutement	NOMcom	masc		sg|pl
alaunt	alan	NOMcom	masc		sg|pl
alaunt	long	NOMcom	masc		sg|pl
alayn	alain	NOMcom	masc		sg|pl
alayn	haleine	NOMcom	fem		sg
alayne	alêne	NOMcom	fem		sg
alayne	haleine	NOMcom	fem		sg
alberburs	barbeur	NOMcom	masc		sg|pl
albigois	albigeois	NOMcom	masc		sg|pl
albreburs	abreuveur	NOMcom	masc		sg|pl
alection	allection	NOMcom	fem		sg
alection	élection	NOMcom	fem		sg
alectorias	alectoire	NOMcom	fem		pl
aleez	allée	NOMcom	masc	aleez	sg|pl
aleez	lé	NOMcom	masc	aleez	sg|pl
alegeance	allégeance	NOMcom	fem		sg
alegemant	allégement	NOMcom	masc		sg|pl
