	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
2181	revest	revest_revêtir_verb	revêtir	VERcjg	VerbForm=Fin	DMF	SGenPr1	revest_revêtir	revest_verb
2182	poursieuvyr	poursieuvyr_poursuivre_verb	poursuivre	VERinf	VerbForm=Inf	no_source	Jouvencel1_manual-seg_pos_lem	poursieuvyr_poursuivre	poursieuvyr_verb
2183	recresroit	recresroit_recroire_verb	recroire	VERcjg	VerbForm=Fin	DECT	YvainKu	recresroit_recroire	recresroit_verb
2184	pleiseit	pleiseit_plaire_verb	plaire	VERcjg	VerbForm=Fin	DMF	brut2	pleiseit_plaire	pleiseit_verb
2185	appelloient	appelloient_appeler_verb	appeler	VERcjg	VerbForm=Fin	no_source	commyn1_manual_seg_lemm	appelloient_appeler	appelloient_verb
2186	Sainte-katherine-du-val-des-escoliers	sainte-katherine-du-val-des-escoliers_sainte-catherine-du-val-des-écoliers_propn	Sainte-catherine-du-val-des-écoliers	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	sainte-katherine-du-val-des-escoliers_sainte-catherine-du-val-des-écoliers	sainte-katherine-du-val-des-escoliers_propn
2187	demandereiz	demandereiz_demander_verb	demander	VERcjg	VerbForm=Fin	DMF	roland	demandereiz_demander	demandereiz_verb
2188	parçoit	parçoit_perçoivre_verb	perçoivre	VERcjg	VerbForm=Fin	DECT	CharretteKu, YvainKu	parçoit_perçoivre	parçoit_verb
2189	Vake	vake_vake_propn	Vake	NOMpro	_	DMF	chartes_hain13	vake_vake	vake_propn
2190	girrai	girrai_jesir_verb	jesir	VERcjg	VerbForm=Fin	DECT	PercevalKu	girrai_jesir	girrai_verb
2191	porveanche	porveanche_pourvoyance_noun	pourvoyance	NOMcom	_	DMF	SBath1	porveanche_pourvoyance	porveanche_noun
2192	ronpue	ronpue_rompre_verb	rompre	VERppe	VerbForm=Part|Tense=Past	DECT	CharretteKu, CligesKu, ErecKu	ronpue_rompre	ronpue_verb
2193	congnoissoit	congnoissoit_connaître_verb	connaître	VERcjg	VerbForm=Fin	no_source, DMF	commyn1_manual_seg_lemm, Jouvencel1_manual-seg_pos_lem, regcrim1-cat	congnoissoit_connaître	congnoissoit_verb
2194	deruerie	deruerie_desverie_noun	desverie	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	deruerie_desverie	deruerie_noun
2195	ensuyvant	ensuyvant_ensuivre_verb	ensuivre	VERppa	VerbForm=Part|Tense=Pres	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	ensuyvant_ensuivre	ensuyvant_verb
2196	Gerault	gerault_girault_propn	Girault	NOMpro	_	no_source	commyn1_manual_seg_lemm	gerault_girault	gerault_propn
2197	xiiii	xiiii_quatorze_pron	quatorze	PROcar	NumType=Card	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	xiiii_quatorze	xiiii_pron
2198	xiiii	xiiii_quatorze_det	quatorze	DETcar	NumType=Card	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	xiiii_quatorze	xiiii_det
2199	angignera	angignera_engignier_verb	engignier	VERcjg	VerbForm=Fin	DECT	CharretteKu	angignera_engignier	angignera_verb
2200	fuitte	fuitte_fuite_noun	fuite	NOMcom	_	no_source	commyn1_manual_seg_lemm	fuitte_fuite	fuitte_noun
2201	curusçus	curusçus_courrouceux_adj	courrouceux	ADJqua	_	DMF	brut2	curusçus_courrouceux	curusçus_adj
2202	connins	connins_connin_noun	connin	NOMcom	_	DMF	regcrim1-cat	connins_connin	connins_noun
2203	auray	auray_avoir_verb	avoir	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	auray_avoir	auray_verb
2204	Norment	norment_normand_propn	Normand	NOMpro	_	DMF	SGenPr1	norment_normand	norment_propn
2205	·ppetdres	·ppetdres_pierre_noun	pierre	NOMcom	_	DMF	passion	·ppetdres_pierre	·ppetdres_noun
2206	ouvri	ouvri_ouvrir_verb	ouvrir	VERcjg	VerbForm=Fin	DMF	SGenPr1	ouvri_ouvrir	ouvri_verb
2207	consulaz	consulaz_consulat_noun	consulat	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	consulaz_consulat	consulaz_noun
2208	uien	uien_venir_verb	venir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	uien_venir	uien_verb
2209	portoent	portoent_porter_verb	porter	VERcjg	VerbForm=Fin	DMF	brut2	portoent_porter	portoent_verb
2210	declaira	declaira_déclarer_verb	déclarer	VERcjg	VerbForm=Fin	no_source	commyn1_manual_seg_lemm	declaira_déclarer	declaira_verb
2211	anvieus	anvieus_envïos_adj	envïos	ADJqua	_	DECT	CligesKu	anvieus_envïos	anvieus_adj
2212	imperfections	imperfections_imperfection_noun	imperfection	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	imperfections_imperfection	imperfections_noun
2213	prenéz	prenéz_prendre_verb	prendre	VERcjg	VerbForm=Fin	DMF	SGenPr1	prenéz_prendre	prenéz_verb
2214	suiant	suiant_sivre_verb	sivre	VERppa	VerbForm=Part|Tense=Pres	DECT	ErecKu	suiant_sivre	suiant_verb
2215	pascience	pascience_patience_noun	patience	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	pascience_patience	pascience_noun
2216	rendet	rendet_rendre_verb	rendre	VERcjg	VerbForm=Fin	DMF	slethgier	rendet_rendre	rendet_verb
2217	portavent	portavent_porter_verb	porter	VERcjg	VerbForm=Fin	DMF	passion	portavent_porter	portavent_verb
2218	defend	defend_défendre_verb	défendre	VERcjg	VerbForm=Fin	DMF	roland	defend_défendre	defend_verb
2219	invite	invite_inviter_verb	inviter	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	invite_inviter	invite_verb
2220	Armygnac	armygnac_armagnac_propn	Armagnac	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	armygnac_armagnac	armygnac_propn
2221	souentins	souentins_soventin_adj	soventin	ADJqua	_	TL, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	souentins_soventin	souentins_adj
2222	dominica	dominica_dominicus_x	dominicus	ETR	Foreign=Yes	DMF	cambps	dominica_dominicus	dominica_x
2223	antrocistrent	antrocistrent_entr'ocire_verb	entr'ocire	VERcjg	VerbForm=Fin	DECT	CligesKu	antrocistrent_entr'ocire	antrocistrent_verb
2224	apovreoit	apovreoit_apovrier_verb	apovrier	VERcjg	VerbForm=Fin	DMF	SGenPr1	apovreoit_apovrier	apovreoit_verb
2225	secreies	secreies_secret_adj	secret	ADJqua	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	secreies_secret	secreies_adj
2226	espaent	espaent_épouvanter_verb	épouvanter	VERcjg	VerbForm=Fin	DMF	roland	espaent_épouvanter	espaent_verb
2227	recuilli	recuilli_recueillir_verb	recueillir	VERcjg	VerbForm=Fin	DMF	moree-cat	recuilli_recueillir	recuilli_verb
2228	couppe	couppe_coupe_noun	coupe	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	couppe_coupe	couppe_noun
2229	aucuneffoiz	aucuneffoiz_aucunefois_adv	aucunefois	ADVgen	_	no_source	Jouvencel1_manual-seg_pos_lem	aucuneffoiz_aucunefois	aucuneffoiz_adv
2230	Galiot	galiot_galiot_propn	Galiot	NOMpro	_	no_source	commyn1_manual_seg_lemm	galiot_galiot	galiot_propn
2231	confrontacions	confrontacions_confrontation_noun	confrontation	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	confrontacions_confrontation	confrontacions_noun
2232	avanpié	avanpié_avantpié_noun	avantpié	NOMcom	_	DECT	CharretteKu	avanpié_avantpié	avanpié_noun
2233	plurrunt	plurrunt_pleurer_verb	pleurer	VERcjg	VerbForm=Fin	DMF	roland	plurrunt_pleurer	plurrunt_verb
2234	warandirons	warandirons_garantir_verb	garantir	VERcjg	VerbForm=Fin	DMF	chartes_hain13	warandirons_garantir	warandirons_verb
2235	contée	contée_comtée_noun	comtée	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	contée_comtée	contée_noun
2236	maisterie	maisterie_maîtrie_noun	maîtrie	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	maisterie_maîtrie	maisterie_noun
2237	podenz	podenz_potent_adj	potent	ADJqua	_	DMF	passion	podenz_potent	podenz_adj
2238	demourée	demourée_demeurer_verb	demeurer	VERppe	VerbForm=Part|Tense=Past	no_source	commyn1_manual_seg_lemm, grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	demourée_demeurer	demourée_verb
2239	demourée	demourée_demeurée_noun	demeurée	NOMcom	_	DMF	moree-cat	demourée_demeurée	demourée_noun
2240	flaüte	flaüte_fläuter_verb	fläuter	VERcjg	VerbForm=Fin	DECT	ErecKu	flaüte_fläuter	flaüte_verb
2241	avendrat	avendrat_advenir_verb	advenir	VERcjg	VerbForm=Fin	DMF	roland	avendrat_advenir	avendrat_verb
2242	uielhart	uielhart_vieillard_noun	vieillard	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	uielhart_vieillard	uielhart_noun
2243	benai	benai_bénir_verb	bénir	VERcjg	VerbForm=Fin	DMF	SGenPr1	benai_bénir	benai_verb
2244	avironna	avironna_avironner_verb	avironner	VERcjg	VerbForm=Fin	DMF	SGenPr1	avironna_avironner	avironna_verb
2245	Fourmigny	fourmigny_formigny_propn	Formigny	NOMpro	_	no_source	Jouvencel1_manual-seg_pos_lem	fourmigny_formigny	fourmigny_propn
2246	Fault	fault_fault_propn	Fault	NOMpro	_	no_source	commyn1_manual_seg_lemm	fault_fault	fault_propn
2247	redrecet	redrecet_redresser_verb	redresser	VERcjg	VerbForm=Fin	DMF	roland	redrecet_redresser	redrecet_verb
2248	porteir	porteir_porter_verb	porter	VERinf	VerbForm=Inf	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	porteir_porter	porteir_verb
2249	aiole	aiole_aiuele_noun	aiuele	NOMcom	_	DECT	PercevalKu	aiole_aiuele	aiole_noun
2250	Viennois	viennois_viennois_propn	Viennois	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	viennois_viennois	viennois_propn
2251	coneümes	coneümes_connaître_verb	connaître	VERcjg	VerbForm=Fin	DMF	AlexisRaM	coneümes_connaître	coneümes_verb
2252	hennours	hennours_honneur_noun	honneur	NOMcom	_	DMF	SGenPr1	hennours_honneur	hennours_noun
2253	Dyonot	dyonot_dionot_propn	Dionot	NOMpro	_	BFM	brut2	dyonot_dionot	dyonot_propn
2254	Meullent	meullent_meulan_propn	Meulan	NOMpro	_	no_source	grchron_j2c5_manual-seg_pos_lem	meullent_meulan	meullent_propn
2255	regard	regard_regard_noun	regard	NOMcom	_	no_source, DMF	commyn1_manual_seg_lemm, DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv, Jouvencel1_manual-seg_pos_lem, passion	regard_regard	regard_noun
2256	gabés	gabés_gaber_verb	gaber	VERcjg	VerbForm=Fin	DMF	aucassin	gabés_gaber	gabés_verb
